type_stands,X,Y,Easting,Northing,location_stand,no_stands,physical_condition,occupancy,expanded_capacity,security_safetyrating,lighting,protection_weather,large_development,ease_access,proximity_cyclenetwork,commercial,retail,residential,transportation,education,recreational,entertainment,restaurants,expanded_stands,,Batch No.,adjusted_easting,adjusted_northing
Sheffield Stand,-6.268642992,53.35275832,315337.357,234987.138,Dorset street upper outside techno logic ,2,High,,300,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6,,,3917.357,4043.138
Sheffield Stand,-6.261105984,53.35264945,315839.483,234987.223,Parnell street outside lomdis,2,High,25,300,High,High,Low,All,Good,Visible,,,,,,,,,6,,,4419.483,4043.223
Sheffield Stand,-6.257088035,53.35410392,316103.055,235155.605,Top of Parnell street opposite Londis,2,High,25,300,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6,,,4683.055,4211.605
Sheffield Stand,-6.261493564,53.33916468,315850.231,233485.98,"St Stephens green Luas, in front of certus",5,High,100,300,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15,,,4430.231,2541.98
Sheffield Stand,-6.254994571,53.34695679,316261.885,234363.663,Tara street,4,High,,300,Medium,High,Low,All,Good,Visible,,,,,,,,,12,,,4841.885,3419.663
Sheffield Stand,-6.228922158,53.34845548,317993.936,234573.204,Mayor street upper beside the point luas station,6,High,30,300,Medium,High,Low,All,Good,Unknown,Yes,,,Yes,,,Yes,,18,,,6573.936,3629.204
Sheffield Stand,-6.258693337,53.35708473,315988.079,235484.708,Mountjoy square noeth,5,High,10,300,High,High,Low,All,Good,Visible,,,,,,,,,15,,,4568.079,4540.708
Sheffield Stand,-6.263477057,53.34307452,315707.538,233917.86,"Exchequer Street, outside Fallon Byrne ",1,High,100,300,High,High,Low,All,Good,Unknown,,,,,,,,,3,,,4287.538,2973.86
Sheffield Stand,-6.267122179,53.34103437,315470.295,233684.928,"Stephens street upper, beside IBOA House",6,High,15,300,Medium,High,Low,,Good,Unknown,Yes,,Yes,,,,,,18,,,4050.295,2740.928
Sheffield Stand,-6.264492273,53.34339079,315639.072,233951.41,George's street great south outside Dublin business school,4,High,100,300,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,12,,,4219.072,3007.41
Sheffield Stand,-6.263179332,53.34308013,315727.351,233918.966,Exchequer street,2,High,100,300,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,,,4307.351,2974.966
Sheffield Stand,-6.266077459,53.3471065,315523.457,234362.337,Jervis street,2,High,100,300,High,High,Low,All,Good,Unknown,,,,,,,,,6,,,4103.457,3418.337
Sheffield Stand,-6.272172779,53.34126417,315133.303,233702.346,Patrick street opposite daybreak shop,2,High,0,300,Medium,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6,,,3713.303,2758.346
Sheffield Stand,-6.275383383,53.34595443,314906.864,234219.119,Opposite 179 Church street,4,High,,300,Medium,High,Low,All,Good,Adjacent & Visible,,,,,,,,,12,,,3486.864,3275.119
Sheffield Stand,-6.248770505,53.33677519,316704.154,233240.786,Baht street lower outside Larry Murphy's,2,High,75,300,High,High,Low,All,Good,Visible,,,,,,,,,6,,,5284.154,2296.786
Sheffield Stand,-6.247810274,53.33588071,316770.555,233142.817,Maggot street lower outside bank of ireland,4,High,50,300,High,High,Low,All,Good,Visible,,,,,,,,,12,,,5350.555,2198.817
Sheffield Stand,-6.255081743,53.34158766,316270.688,233766.034,,2,High,67,300,Medium,High,Low,All,Good,Unknown,,,,,,,,,9,,,4850.688,2822.034
Sheffield Stand,-6.24988094,53.34336116,316612.22,233971.872,Westland row,3,High,85,300,High,High,Low,All,Good,Visible,,,,,,,,,9,,,5192.22,3027.872
Sheffield Stand,-6.245094538,53.34337317,316930.946,233981.034,Pearce street,2,High,100,300,High,High,Low,All,Good,Visible,,,,,,,,,6,,,5510.946,3037.034
Sheffield Stand,-6.26622498,53.33866101,315536.464,233422.266,Aungier street outside DIT,5,High,80,299,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15,,,4116.464,2478.266
Sheffield Stand,-6.269459724,53.35013744,315290.05,234694.162,Capel street outside Dublin College of Advanced Studies,4,High,62.5,250,,High,Low,All,Good,Visible,,,,,,,,,10,,,3870.05,3750.162
Sheffield Stand,-6.268934011,53.35202907,315319.949,234905.516,Kings Inn Street,4,High,0,250,Medium,High,Low,All,Good,Visible,,,,,,,,,10,,,3899.949,3961.516
Sheffield Stand,-6.257198006,53.35419437,316095.487,235165.492,top of Parnell street,4,High,50,250,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,10,,,4675.487,4221.492
