type_stands,X,Y,Easting,Northing,location_stand,no_stands,physical_condition,occupancy,expanded_capacity,security_safetyrating,lighting,protection_weather,large_development,ease_access,proximity_cyclenetwork,commercial,retail,residential,transportation,education,recreational,entertainment,restaurants,expanded_stands,,Batch No.,adjusted_easting,adjusted_northing
Sheffield Stand,-6.263774782,53.35127979,315665.497,234830.478,Parnell street outside Centra ,6,High,90,150,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,9,,,4245.497,3886.478
Sheffield Stand,-6.257439405,53.3362755,316128.101,233171.05,Start of st. Stephen's Green terrace. ,4,High,80,150,High,High,Low,All,Fair,Adjacent & Visible,,,,,,,,,6,,,4708.101,2227.05
Sheffield Stand,-6.25215143,53.33690652,316478.602,233249.882,"Pembroke street lower, opposite coffee angel.",4,High,40,150,Medium,High,Low,All,Good,Unknown,,,,,,,,,6,,,5058.602,2305.882
Sheffield Stand,-6.259725988,53.34860279,315942.348,234539.141,"O'Connell street, median, behind Sir John Gray monument",4,High,100,150,High,High,Low,All,Fair,Visible,,,,,,,,,10,,,4522.348,3595.141
Sheffield Stand,-6.274455339,53.33232339,315005.336,232703.719,South Circular road tesco,3,High,,150,,High,Low,All,Good,Visible,,,,,,,,,5,,,3585.336,1759.719
Sheffield Stand,-6.266537458,53.34511458,315498.21,234139.928,"Essex street east, outside the Clarence hotel",3,High,80,150,High,High,Low,,Good,Unknown,,,Yes,,,,Yes,Yes,4,,,4078.21,3195.928
Sheffield Stand,-6.273295283,53.33919831,315064.105,233470.644,The coombe outside ovenden house. ,4,High,80,150,Medium,High,Low,All,Good,Visible,,,,,,,,,6,,,3644.105,2526.644
Sheffield Stand,-6.260206103,53.34439721,315921.787,234070.356,"College green, median",13,High,90,150,High,High,Low,All,Poor,Unknown,,,,,,,,,20,,,4501.787,3126.356
Sheffield Stand,-6.2726596,53.35032477,315076.477,234709.847,North king street,5,High,0,150,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,7,,,3656.477,3765.847
Sheffield Stand,-6.253476441,53.3323394,316402.783,232739.484,End of Adelaide road beside kiosk,4,High,25,150,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6,,,4982.783,1795.484
Sheffield Stand,-6.250662804,53.33551714,316581.544,233097.698,Start of Fitzwilliam square north,4,High,65,150,High,High,Low,All,Good,Unknown,,,,,,,,,6,,,5161.544,2153.698
Sheffield Stand,-6.261388958,53.34824573,315832.581,234496.708,"Middle abbey street,  outside independent house newspaper limited.",10,High,35,150,High,High,Low,All,Good,Visible,,,,,,,,,15,,,4412.581,3552.708
Sheffield Stand,-6.263314784,53.34790949,315705.252,234456.169,"Middle abbey street, outside austrailia travel.",5,High,80,150,High,High,Low,All,Good,Unknown,,,,,,,,,8,,,4285.252,3512.169
Sheffield Stand,-6.241157055,53.33936646,317204.157,233541.615,Grand canal street lower,4,High,30,150,High,High,Low,All,Good,Visible,,,,,,,,,6,,,5784.157,2597.615
Sheffield Stand,-6.244124919,53.33894527,317007.641,233489.878,Mount street lower opposite new mount house,6,High,40,150,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,9,,,5587.641,2545.878
Sheffield Stand,-6.258493513,53.34681028,316029.285,234341.669,D'Oliver street,5,High,100,150,High,High,Low,All,Good,Visible,,,,,,,,,6,,,4609.285,3397.669
Sheffield Stand,-6.252858192,53.35146871,316391.857,234869.239,Foley street outside dance Irelamd,2,High,25,150,Medium,High,Low,All,Good,Unknown,,,,,,,,,3,,,4971.857,3925.239
Stainless Steel Curved,-6.235854328,53.34555893,317540.3,234239.439,Blood stone road,4,High,,150,Medium,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,,,6120.3,3295.439
Stainless Steel Curved,-6.24304533,53.34893742,317052.173,234603.592,Mayor square outside Snap and national college of Ireland.,12,High,60,150,High,High,Low,All,Good,Visible,,,,Yes,Yes,,,,18,,,5632.173,3659.592
Stainless Steel Curved,-6.263821721,53.34194797,315687.634,233791.936,"Fade street, outside the rage record store",3,High,85,150,Medium,High,Low,All,Good,Visible,,,,,,,,,5,,,4267.634,2847.936
Sheffield Stand,-6.255581975,53.33800839,316247.108,233366.911,Hume street,7,High,40,125,High,High,Low,All,Good,Visible,,,,,,,,,9,,,4827.108,2422.911
Sheffield Stand,-6.267700195,53.34936332,315409.302,234610.858,Wolfe tone street,5,High,0,120,Medium,High,Low,,Good,Visible,,,Yes,,,,,,6,,,3989.302,3666.858
Sheffield Stand,-6.26718387,53.34796313,315447.466,234455.876,Wolfe tone street outside AXA office,7,High,50,120,High,High,Low,All,Good,Unknown,,,,,,,,,10,,,4027.466,3511.876
Railing,-6.261603534,53.34194076,315835.383,233794.729,Coppinger row ,4,High,50,100,High,High,Low,All,Good,Unknown,,,,,,,,,4,,,4415.383,2850.729
Railing,-6.258242726,53.34913596,316039.668,234600.883,Saclville Place,7,High,7,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,7,,,4619.668,3656.883
Railing,-6.26198709,53.34380633,315804.783,234001.712,Trinity street,4,Medium,50,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,4,,,4384.783,3057.712
Sheffield Stand,-6.242224574,53.3428079,317123.625,233922.833,Pearce street opposite parser square,4,High,50,100,High,High,Low,All,Good,Visible,,,,,,,,,4,,,5703.625,2978.833
Sheffield Stand,-6.267755181,53.350079,315403.707,234690.411,Parnell street outside cineworld.,7,High,50,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,Yes,,7,,,3983.707,3746.411
Sheffield Stand,-6.256624013,53.34880213,316148.363,234566.365,"Abbey Street Lower, outside Abbey Theatre.",11,High,0,100,,High,Low,All,Good,Unknown,,,,Yes,,,,,11,,,4728.363,3622.365
Sheffield Stand,-6.255399585,53.34901748,316229.309,234592.322,Abbey Street Lower outside Beresford Court.,8,High,5,100,High,High,Low,All,Good,Unknown,,,,,,,,,8,,,4809.309,3648.322
Sheffield Stand,-6.256809086,53.34580232,316144.193,234232.239,Pearce street and Townsend street,20,High,90,100,High,High,Low,All,Good,Visible,,,,,,,,,20,,,4724.193,3288.239
Sheffield Stand,-6.260926276,53.3398373,315886.191,233561.751,"Stephens green, in front of beneton shop",15,High,90,100,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15,,,4466.191,2617.751
Sheffield Stand,-6.227487177,53.34842026,318089.587,234571.656,East wall road outside the O2 ,18,High,,100,Medium,High,Low,All,Good,Visible,,,,Yes,,,Yes,,18,,,6669.587,3627.656
Sheffield Stand,-6.261851639,53.34615699,315807.433,234263.518,"Bedford row, beside Ladbrokes",4,High,20,100,High,High,Low,All,Good,Visible,,,,,,,,,4,,,4387.433,3319.518
Sheffield Stand,-6.2569727,53.35029835,316121.077,234732.301,Talbot Street outside Carrolls shop,4,High,13,100,High,High,Low,All,Good,Unknown,,,,,,,,,4,,,4701.077,3788.301
Sheffield Stand,-6.259736717,53.34583434,315949.146,234231.045,"Fleet Street, outside TGI restaurant.",4,High,35,100,High,High,Low,All,Good,Unknown,,,,,,,,,4,,,4529.146,3287.045
Sheffield Stand,-6.262689829,53.34607693,315751.832,234253.25,"Aston quay, outside house of colour",4,High,40,100,High,High,Low,All,Good,Unknown,,,,,,,,,4,,,4331.832,3309.25
Sheffield Stand,-6.262397468,53.3327959,315807.281,232775.783,Harcourt street outside Starbucks ,17,High,110,100,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,17,,,4387.281,1831.783
Sheffield Stand,-6.269115061,53.33779779,315346.302,233321.534,"New bride street , Infront of small green",5,High,0,100,High,High,Low,,Good,Visible,,,Yes,,Yes,,,,5,,,3926.302,2377.534
Sheffield Stand,-6.243086904,53.33666389,317083.026,233237.703,Mount street ctescent,7,High,20,100,Medium,High,Low,All,Good,Visible,,,,,,,,,7,,,5663.026,2293.703
Sheffield Stand,-6.254668683,53.34915197,316277.613,234608.478,Beresford Place median,3,High,0,100,High,High,Low,All,Fair,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,,,4857.613,3664.478
Sheffield Stand,-6.266076118,53.33774334,315548.86,233320.387,Kevin's street outside o haras pharmacy,5,High,80,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,,,4128.86,2376.387
Sheffield Stand,-6.260073334,53.36081366,315886.087,235897.431,Dorset street outside gaa ticket office ,5,High,20,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6,,,4466.087,4953.431
Sheffield Stand,-6.265628189,53.33737258,315579.697,233279.852,"Wexford street, Infront of mega bikes.",3,High,15,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,,,4159.697,2335.852
Sheffield Stand,-6.265334487,53.33563406,315603.961,233086.862,"Camden street lower, outside ulster bank",2,High,50,100,High,High,High,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,,,4183.961,2142.862
Sheffield Stand,-6.256683022,53.35602898,316124.787,235370.489,Mountjoy square south outside dit,9,High,25,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,9,,,4704.787,4426.489
Sheffield Stand,-6.26425758,53.34045385,315662.65,233624.961,"Noel Purcell Walk, Infront of beaux lane house",25,High,50,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,25,,,4242.65,2680.961
Sheffield Stand,-6.26260668,53.34104558,315770.999,233693.485,"Chatham road, outside Mao restaurant",6,High,50,100,High,High,Low,All,Good,Unknown,,,,,,,,,6,,,4350.999,2749.485
Sheffield Stand,-6.263074726,53.34134584,315739.014,233726.14,"William street south, outside dada restautsnt",5,High,100,100,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,,,4319.014,2782.14
Sheffield Stand,-6.261555254,53.34365901,315833.941,233986.018,Saint Andrew street,3,High,100,100,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,,,4413.941,3042.018
Sheffield Stand,-6.264543235,53.34274625,315637.422,233879.602,"South George's street, outside Diwali",5,High,80,100,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,,,4217.422,2935.602
Sheffield Stand,-6.264674664,53.34206327,315630.517,233803.386,"George's street, outside Hogans pub",3,High,100,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,,,4210.517,2859.386
Sheffield Stand,-6.269145906,53.35812925,315289.375,235584.016,Berkeley road outside Berkeley wash,4,High,20,100,Medium,High,Low,All,Good,Adjacent & Visible,,,,,,,,,4,,,3869.375,4640.016
Sheffield Stand,-6.26068756,53.35209391,315868.85,234926.08,Cathal Brugha street outside the Irish aid office,9,High,100,100,High,High,Low,All,Good,,,,,,,,,,9,,,4448.85,3982.08
Sheffield Stand,-6.290507019,53.33420699,313931.045,232887.606,Cork street,6,High,15,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,,,2511.045,1943.606
Sheffield Stand,-6.265275478,53.33621064,315606.332,233151.12,"Camden street lower, Infront of icon health store. ",6,High,15,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,,,4186.332,2207.12
Sheffield Stand,-6.262984872,53.34294562,315740.665,233904.313,"Drury street, outside Carousel",3,High,100,100,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,,,4320.665,2960.313
Sheffield Stand,-6.263002306,53.34274225,315740.055,233881.653,Drury street outside Irish design shop,9,High,100,100,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9,,,4320.055,2937.653
Sheffield Stand,-6.255485415,53.33438318,316263.399,232963.648,"End of Hatch street lower, both sides of the road, outside cafe sol",11,High,85,100,Medium,High,Low,All,Good,Visible,,,,,,,,,11,,,4843.399,2019.648
Sheffield Stand,-6.25756681,53.33374331,316126.494,232889.056,Hatch street lower,4,High,90,100,Medium,High,Low,All,Good,Visible,,,,,,,,,4,,,4706.494,1945.056
Sheffield Stand,-6.264339387,53.34348527,315648.998,233962.172,"George's street, opposite Dublin business school",4,High,80,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,4,,,4228.998,3018.172
Sheffield Stand,-6.266876757,53.34402251,315478.565,234017.851,Open square beside Dublin City hall,11,High,85,100,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11,,,4058.565,3073.851
Sheffield Stand,-6.26842171,53.34736269,315366.659,234387.057,Capel street outside spar,3,High,90,100,Medium,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,,,3946.659,3443.057
Sheffield Stand,-6.267835647,53.34653888,315407.911,234296.329,"Great strand street, outside pantibar",3,High,100,100,High,High,Low,All,Good,Unknown,,,,,,,,,3,,,3987.911,3352.329
Sheffield Stand,-6.268506199,53.34472227,315368.162,234093.089,"Essex street west, outside the gaiety school of acting.",3,High,50,100,High,Medium,Low,,Good,Unknown,,,,,Yes,,,,3,,,3948.162,3149.089
Sheffield Stand,-6.267154366,53.34537639,315456.42,234168.065,Wellington quay,6,High,12,100,High,Low,Low,All,Good,Unknown,,,,,Yes,,,,6,,,4036.42,3224.065
Sheffield Stand,-6.272738725,53.34685272,315080.56,234323.341,Four courts luas stop,11,High,0,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,11,,,3660.56,3379.341
Sheffield Stand,-6.257389784,53.34818009,316099.061,234495.898,Marlborough street,4,High,37,100,High,High,Low,All,Good,Visible,,,,,,,,,4,,,4679.061,3551.898
Sheffield Stand,-6.28135398,53.34313377,314516.822,233895.639,Thomas street across from the hill top bar,3,High,0,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,3,,,3096.822,2951.639
Sheffield Stand,-6.275115162,53.34155082,314936.568,233729.506,Francis street opposite the liberty bell pub,4,High,15,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,4,,,3516.568,2785.506
Sheffield Stand,-6.275891662,53.34326188,314880.254,233918.668,Cornmarket street outside farrow and ball,3,High,50,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,3,,,3460.254,2974.668
Sheffield Stand,-6.275187582,53.3480536,314914.257,234453.035,May lane outside Hanley at the bar,8,High,90,100,,High,Low,All,Good,Visible,,,,,,,,,8,,,3494.257,3509.035
Sheffield Stand,-6.270484328,53.35087553,315219.835,234774.644,North kings street outside centra,4,High,25,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,4,,,3799.835,3830.644
Sheffield Stand,-6.260164529,53.35221318,315903.351,234940.202,Cathal Brugha Street outside the Living Room pub,14,High,90,100,High,High,Low,All,Good,Unknown,,,,,,,,,14,,,4483.351,3996.202
Sheffield Stand,-6.267481595,53.34471186,315436.423,234093.586,Parliament street outside paramount hotel,5,High,15,100,High,High,Low,All,Good,,,,,,,,,,5,,,4016.423,3149.586
Sheffield Stand,-6.267346144,53.34468624,315445.513,234090.954,Parliament street outside spar shop,5,High,60,100,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,,,4025.513,3146.954
Sheffield Stand,-6.264945567,53.34561337,315602.871,234198.01,"Eustace street, outside the Italian corner restaurant",4,High,85,100,,High,Low,All,Good,Visible,,,,,,,,,4,,,4182.871,3254.01
Sheffield Stand,-6.264374256,53.34549008,315641.25,234185.215,"Essex street, outside the shack restaurant.",5,High,50,100,High,High,Low,,Good,Unknown,,,,,,,,,5,,,4221.25,3241.215
Sheffield Stand,-6.26306802,53.34492803,315729.759,234124.785,"Cope street, behind central bank",7,High,75,100,Medium,High,Low,,Good,Unknown,,,,,,,,,7,,,4309.759,3180.785
Sheffield Stand,-6.262601316,53.34562138,315758.961,234202.699,"Temple bar, outside Rory's fishing shop.",4,High,85,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,4,,,4338.961,3258.699
Sheffield Stand,-6.260741204,53.34577029,315882.428,234222.287,"Fleet Street, outside hard rock cafe",3,High,50,100,High,High,Low,All,Good,Unknown,,,,,,,,,3,,,4462.428,3278.287
Sheffield Stand,-6.25832051,53.34702084,316040.233,234365.381,Burgh quay,2,High,50,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,,,4620.233,3421.381
Sheffield Stand,-6.290792674,53.33423022,313911.955,232889.735,Cork street,3,Medium,33,100,Medium,High,Low,All,Good,Visible,,,,,,,,,3,,,2491.955,1945.735
Sheffield Stand,-6.259278059,53.34617781,315978.757,234270.012,"Westmorleland street, outside Bewleys",4,High,75,100,High,High,Low,All,Good,Visible,,,,,,,,,4,,,4558.757,3326.012
Sheffield Stand,-6.271794587,53.34257811,315154.95,233849.174,Christchurch square,4,High,40,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,4,,,3734.95,2905.174
Sheffield Stand,-6.277763844,53.34286315,314756.643,233871.286,Thomas street outside st johns priory,9,High,33,100,High,High,Low,All,Good,Visible,,,,,,,,,9,,,3336.643,2927.286
Sheffield Stand,-6.272678375,53.34495686,315089.685,234112.463,Merchants quay,4,High,,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,4,,,3669.685,3168.463
Sheffield Stand,-6.294609457,53.34817688,313620.631,234435.677,Parkgate street outside Landis\subwau,3,High,50,100,High,High,Low,All,Good,Visible,,,,,,,,,3,,,2200.631,3491.677
Sheffield Stand,-6.26865238,53.34804559,315349.455,234462.679,"Capel street, outside mcQuillan tools",6,High,75,100,,High,Low,All,Good,Unknown,,,,,,,,,6,,,3929.455,3518.679
Sheffield Stand,-6.250543445,53.33552355,316589.477,233098.606,Fitzwilliam street upper,4,High,,100,High,High,Low,All,Good,Unknown,,,,,,,,,4,,,5169.477,2154.606
Sheffield Stand,-6.248227358,53.33788988,316737.287,233365.719,Fitzwilliam street lower,4,High,50,100,High,High,Low,All,Good,Visible,,,,,,,,,4,,,5317.287,2421.719
Sheffield Stand,-6.248077154,53.33777617,316747.602,233353.311,Fitzwilliam street lower,6,High,25,100,High,High,Low,All,Good,Visible,,,,,,,,,6,,,5327.602,2409.311
Sheffield Stand,-6.274377555,53.35003177,314962.874,234674.474,Church street Londis,4,High,50,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,4,,,3542.874,3730.474
Sheffield Stand,-6.277834922,53.34944898,314734.224,234604.059,Top of Smithfield,6,High,25,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,6,,,3314.224,3660.059
Sheffield Stand,-6.251549274,53.33571254,316521.965,233117.996,Fitzwilliam square north,7,High,50,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,7,,,5101.965,2173.996
Sheffield Stand,-6.285188198,53.35308412,314234.867,234996.798,Manor street,6,High,20,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6,,,2814.867,4052.798
Sheffield Stand,-6.263397932,53.34801997,315699.416,234468.328,Middle abbey street across the road from the Gin Palace  pub,5,High,70,100,,High,Low,,Good,Unknown,,,,,,,,,5,,,4279.416,3524.328
Sheffield Stand,-6.265190989,53.33592955,315612.72,233119.977,"Camden street, Infront of great deals store.",6,High,0,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6,,,4192.72,2175.977
Sheffield Stand,-6.269591153,53.35858467,315258.504,235633.978,Berkeley road outside post office,2,High,25,100,Medium,High,Low,All,Good,Adjacent & Visible,,,,,,,,,2,,,3838.504,4689.978
Sheffield Stand,-6.264034957,53.34852353,315655.634,234523.334,Liffey street outside entrance to Arnotts.,8,High,90,100,High,High,Low,All,Good,Unknown,,,,,,,,,8,,,4235.634,3579.334
Sheffield Stand,-6.244546026,53.33702184,316984.858,233275.145,Mount street uppwr,7,High,25,100,,High,Low,All,Good,Unknown,,,,,,,,,7,,,5564.858,2331.145
Sheffield Stand,-6.258653104,53.33091783,316061.804,232572.865,Charlemont place beside luas station ,9,High,80,100,Medium,High,Low,All,Good,Adjacent & Visible,,,,Yes,,,,,9,,,4641.804,1628.865
Stainless Steel Curved,-6.238808781,53.34258852,317351.711,233904.027,Grand canal docks,5,High,90,100,Medium,High,Low,All,Good,Visible,,,,,,,,,5,,,5931.711,2960.027
Stainless Steel Curved,-6.239453852,53.34532995,317301.225,234208.039,Admiral brown street,6,High,90,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,6,,,5881.225,3264.039
Stainless Steel Curved,-6.238279045,53.34498248,317380.414,234171.302,All along Forbes street,12,High,15,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,12,,,5960.414,3227.302
Stainless Steel Curved,-6.235983074,53.3450089,317533.24,234178.018,Blood stone /road horse fair intersection,12,High,15,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,12,,,6113.24,3234.018
Stainless Steel Curved,-6.235950887,53.34507375,317535.205,234185.288,A'll along bood stone road,12,High,35,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,12,,,6115.205,3241.288
Stainless Steel Curved,-6.238179803,53.34482395,317387.459,234153.824,All along Forbes street,12,High,25,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,12,,,5967.459,3209.824
Stainless Steel Curved,-6.264417171,53.34207047,315647.646,233804.604,"Fade street, outside hogans bar",3,High,100,100,Medium,Medium,Low,All,Good,Visible,,,,,,,,,3,,,4227.646,2860.604
Stainless Steel Curved,-6.233445704,53.34433076,317704.081,234106.733,Benson street,8,High,50,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,8,,,6284.081,3162.733
Stainless Steel Curved,-6.236972809,53.34497847,317467.413,234173.004,Horse fair,8,High,75,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,8,,,6047.413,3229.004
Sheffield Stand,-6.287840903,53.35609622,314050.203,235327.753,Prussia street,4,High,0,75,High,High,Low,All,Good,Visible,,,,,,,,,3,,,2630.203,4383.753
Sheffield Stand,-6.262051463,53.3428119,315803.19,233890.945,"Start of South William street, outside jewl in the crown",7,High,75,75,High,High,Low,All,Good,Unknown,,,,,,,,,5,,,4383.19,2946.945
Sheffield Stand,-6.26450032,53.35301127,315612.501,235021.986, Parnell square west outside the rotunda hospital ,8,High,0,75,High,High,Low,All,Good,Unknown,,,,,,,,,6,,,4192.501,4077.986
Sheffield Stand,-6.290662587,53.34183507,313900.354,233736.23,,4,High,0,75,,High,Low,,Good,,,,Yes,,,,,,3,,,2480.354,2792.23
Sheffield Stand,-6.279795617,53.34779341,314608.107,234416.675,"Queen street, probation service ",10,Medium,15,75,Medium,High,Low,All,Good,Unknown,,,,,,,,,7,,,3188.107,3472.675
Sheffield Stand,-6.270240247,53.34315219,315256.918,233915.567,"Christ church place, outside sunny's newsagent",6,High,50,70,High,High,Low,All,Good,Adjacent & Visible,Yes,,,,,,,,4,,,3836.918,2971.567
Sheffield Stand,-6.265384108,53.33649172,315598.337,233182.223,"Wexford street, outside solo clothes shop.",3,High,65,66,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,,,4178.337,2238.223
Sheffield Stand,-6.276079416,53.34295923,314868.564,233884.686,Francis street outside reillys pharmacy ,3,High,85,66,Medium,High,Low,All,Good,Visible,,,,,,,,,2,,,3448.564,2940.686
Sheffield Stand,-6.293238848,53.34612577,313717.358,234209.605,Houston train station,8,High,50,65,High,High,Low,All,Good,Adjacent & Visible,,,,Yes,,,,,6,,,2297.358,3265.605
Sheffield Stand,-6.251306534,53.33771531,316532.673,233341.264,"Top of baggot street lower, end of pembroke street lower",5,High,90,60,High,High,Low,All,Good,Unknown,,,,,,,,,3,,,5112.673,2397.264
Sheffield Stand,-6.264303178,53.34296563,315652.815,233904.404,"Edge of exchequer street, outside pharmacy and rustic stone",13,High,90,60,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,,,4232.815,2960.404
Sheffield Stand,-6.267253608,53.34496807,315450.914,234122.466,"Essex street, outside zaytoon",4,High,85,60,High,High,Low,,Good,,,,Yes,,,,,Yes,2,,,4030.914,3178.466
Sheffield Stand,-6.26409933,53.3442603,315662.887,234048.808,"Dame street,  outside Nico's restaurant",5,High,100,60,High,High,Low,All,Good,Visible,,,,,,,,,3,,,4242.887,3104.808
Sheffield Stand,-6.260648668,53.34896464,315879.927,234577.911,"Prince's street north, outside penny's.",5,High,100,60,High,High,Low,All,Good,Visible,,,,,,,,,3,,,4459.927,3633.911
Sheffield Stand,-6.252918541,53.34181265,316414.144,233794.595,Leinster street south outside TCD Leinster street,5,High,100,60,High,High,Low,All,Good,Unknown,,,,,,,,,3,,,4994.144,2850.595
Railing,-6.266168654,53.33863779,315540.279,233419.773,Aungier street outside DIT,4,High,30,50,High,High,High,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,,,4120.279,2475.773
Railing,-6.267496347,53.34391522,315437.593,234004.91,Start of castle street,4,High,25,50,High,High,Low,All,Good,Visible,,,,,,,,,2,,,4017.593,3060.91
Railing,-6.258029491,53.34132903,316075.072,233732.458,"Molesworth street, ",4,High,90,50,Medium,High,Low,All,Good,Unknown,,,,,,,,,2,,,4655.072,2788.458
Sheffield Stand,-6.265747547,53.35051289,315536.215,234741.942,Parnell Streer outside Aldi,11,High,65,50,High,High,Low,All,Good,Adjacent & Visible,,Yes,,,,,Yes,,8,,,4116.215,3797.942
Sheffield Stand,-6.260790825,53.34894062,315870.526,234575.007,"Prince's street north, outside penny's",18,High,100,50,High,High,Low,All,Good,Visible,,,,,,,,,9,,,4450.526,3631.007
Sheffield Stand,-6.250971258,53.35126939,316518.041,234850.136,Talbot street outside wake cup,12,High,25,50,Medium,High,Low,All,Good,Unknown,,,,,,,,,6,,,5098.041,3906.136
Sheffield Stand,-6.269926429,53.35090915,315256.892,234779.286,"Capel Street, outside The Horse Shoe shop",6,High,79,50,High,High,Low,,Good,Visible,,Yes,,,Yes,,,,3,,,3836.892,3835.286
Sheffield Stand,-6.263267845,53.35177931,315697.898,234886.887,Parnell street outside king fisher restraunt.,4,High,80,50,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,2,,,4277.898,3942.887
Sheffield Stand,-6.263511926,53.34102076,315710.776,233689.256,"Johnstone place, outside pharmacy",6,High,92,50,High,High,Low,All,Good,Visible,,,,,,,,,3,,,4290.776,2745.256
Sheffield Stand,-6.265024692,53.33286797,315632.078,232779.547,"Camden street upper, outside damascus gate restaurant ",8,High,50,50,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4,,,4212.078,1835.547
Sheffield Stand,-6.262032688,53.34383996,315801.655,234005.381,"Trinity street, outside jack jones shop",4,High,100,50,Medium,High,Low,All,Good,Unknown,,,,,,,,,2,,,4381.655,3061.381
Sheffield Stand,-6.263313442,53.34680228,315708.34,234332.958,"End of Liffey street lower, outside the grand social",4,High,90,50,High,High,Low,All,Good,Visible,,,,,,,,,2,,,4288.34,3388.958
Sheffield Stand,-6.272449046,53.33910542,315120.718,233461.67,End of Patricia street outside spar,5,High,20,50,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,3,,,3700.718,2517.67
Sheffield Stand,-6.269899607,53.34332353,315279.141,233935.184,"Start of westborough street, beside the butchers bar",14,High,30,50,High,High,Medium,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14,,,3859.141,2991.184
